Name,X,Y
1,-22506533.94,15472174.42
3,-22523403.08,15476702.63
4,-22518166.81,15476784.22
5,-22511060.81,15478497.6
6,-22510069.21,15477294.15
8,-22497552.06,15476080.51
10,-22524673.9,15461343.52
16,-22496912.78,15487982.44
17,-22489003.06,15488288.4
18,-22491549.51,15488135.42
20,-22502290.99,15487798.86
21,-22475203.54,15488726.95
23,-22529703.66,15456050.49
24,-22545444.46,15493081.85
26,-22512404.32,15477090.18
29,-22554698.11,15494876.85
30,-22507820.23,15477171.77
31,-22486017.23,15488461.78
32,-22498599.47,15486269.04
34,-22523214.68,15466381.61
37,-22501867.59,15482747.41
38,-22524102.66,15487380.71
40,-22521858.42,15466595.78
41,-22509831.45,15483066.63
42,-22542948.79,15496008.92
43,-22529666.11,15481485.82
44,-22538962.07,15465881.88
45,-22505609.83,15481618.41
46,-22501543.4,15477498.13
47,-22500515.17,15472888.33
48,-22514970.24,15485708.11
49,-22521726.18,15468244.89
52,-22513524.1,15487258.32
53,-22524869.45,15486473.02
54,-22533769.15,15488451.58
55,-22523892,15466371.41
56,-22459025.63,15542985.98
57,-22519520.68,15480986.09
58,-22522951.72,15471613.5
59,-22510782.44,15487350.11
60,-22483637.85,15488543.37
61,-22534664.17,15476192.69
62,-22517307.82,15471888.86
64,-22528550.88,15471368.73
66,-22517590.92,15481312.45
67,-22507908.92,15487584.68
68,-22529153.39,15476417.07
69,-22516713.03,15483984.52
70,-22482117.24,15486860.57
72,-22517586.34,15482944.24
74,-22508712.5,15477263.56
78,-22522595.55,15485096.18
80,-22504733.83,15485126.78
81,-22490510.47,15477906.07
82,-22514934.27,15480210.98
